Are you ready to begin the survey?,"Do you have any experience in analyzing, processing, or managing software logs?",Are you familiar with the following data protection regulations and standards? (Select all that apply),"Based on the above examples, which of the following attributes do you consider sensitive in software logs? Each row includes an example after the colon (:) (Select all that apply)",Have you ever anonymized log data?,"When you want to share software logs, which attributes do you anonymize? Each row includes an example after the colon (:) (Select all that apply)",Why do your responses regarding which attributes are sensitive (the question on page 4) differ from those you actually anonymize (the question on page 6) in software logs? (Select all that apply),What factors influence your decision to anonymize certain log attributes? (Select all that apply),Which anonymization techniques do you primarily use for log data? (Select all that apply),How much do you believe anonymization impacts the usefulness of the data?,How challenging do you find balancing anonymization with the need to preserve the utility of log data?,How effective do you believe your current anonymization practices are in protecting sensitive information?,How effective do you believe your current anonymization practices are in preserving utility?,How efficient do you believe your current anonymization practices are in terms of computation cost and time?,Can you share any strategies or best practices you use to maintain data utility while anonymizing logs?,What challenges do you face when applying anonymization techniques to software logs?,"Do you have any additional comments, suggestions, or insights you'd like to share regarding log anonymization practices or this survey?",Which best describes your role in the organization?,How many years of experience do you have? ,In which industry does your organization operate?,What is the approximate size of your organization?
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: hollerith.hrz.tu-chemnitz.de, Configuration details: vCores:32",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: hollerith.hrz.tu-chemnitz.de","Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so.","Legal compliance, Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Generalization, Aggregation, I consider the rest as Pseudonymization techniques",Moderately,4,4,4,3,Differential Privacy and sythetic data generation,"Consistency, referential integrity ",,Data Privacy Researcher ,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request protocol: HTTP/1.0, Any customer identifying information. ","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., I anonymize only those attributes that are required by company policies or regulations., There are technical limitations or challenges in anonymizing certain sensitive attributes.","Legal compliance, Risk of re-identification, Company policies, Customer requirements, There are ways to anonymise log data through hash functions that make sure that what can provide critical insight to companies would just be garbage to the outside world. ","Tokenization, Hashing, Truncation and generalization can be reverse engineered if sufficient logs become available",Moderately,3,3,4,2,Building internal data models with app specific encryption/decryption/ hashing such that writing to log in encrypted format and decrypting and displaying ligs back. Especially advocate for building in house decrypting visualization dashboards. ,An ecosystem of tools need to be in place especially for fast decryption,None. ,Software engineer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,GDPR (General Data Protection Regulation),"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, This question misses context. The end goal (gdpr purpose) sets the anonymization level. ",My answers do not differ.,"Legal compliance, Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Suppression, Tokenization, Truncation, Generalization, Permutation, Aggregation, Hashing, differential privacy",Moderately,2,3,3,3,"DPIA set the context, risk threshold to set the final goal, which technique to use derives from these previous answers","When there's a need to merge different datasets, particularly when the purpose surpasses the rights of data subjects","Anonymization is a process, not a purpose. I have different techniques whether I'm building a pipeline for monitorization, for analytics or for incident response.  ",Security Engineer,More than 10 years,Technology,1-100 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), LGPD","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13",Yes,We anonymize document numbers such as SSN or CPF (the Brazilian equivalent),I anonymize only those attributes that are required by company policies or regulations.,"Legal compliance, Impact on data utility, Company policies","Tokenization, Hashing",Slightly,4,4,3,4,The data is actually pseudonymized. The original value is kept apart in case is needed form emergencies.,"Some logs are valuable for threat intelligence, fraud prevention ant other purposes. The challenge is to reach the same level of process effectiveness while anonymizing the data.",No,Data privacy officer,7-10 years,Finance,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), PIPEDA (Personal Information Protection and Electronic Documents Act), ""Policy on Service and Digital"" for government","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, versions of software components like v2",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, again, software versions","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., There are technical limitations or challenges in anonymizing certain sensitive attributes., there are differences of levels of sensitivty and caution based on who it's being shared with, and what agreements are in place","Legal compliance, Impact on data utility, Company policies",Tokenization,Slightly,3,4,4,1,"TDD, spot checks","biggest problem is time, second is manual checking of results because of paranoia that the anonymization isn't great",,"senior computer scientist, team lead",More than 10 years,Government,More than 500 employees
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request protocol: HTTP/1.0, Request method: GET, Request response size, Request response time, Environmental data: temperature ambient=33, Configuration details: vCores:32",No,,,,,,,,,,,,,IT manager,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), Quebec Loi 25","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, Log level: INFO, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Port number: 8080",No,,,,,,,,,,,,,"Privacy Engineer, Risk Management specialist ",More than 10 years,All ,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), Iso27701. A few more","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Atomibk",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, File path","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., There are technical limitations or challenges in anonymizing certain sensitive attributes., The logs I handle are not always used for sharing externally, so I anonymize fewer attributes., I rely on automated tools that may not cover all sensitive attributes.","Legal compliance, Risk of re-identification, Impact on data utility, Company policies, Customer requirements","Suppression, Tokenization, Truncation, Permutation, Hashing",Slightly,3,1,1,4,,Internal buy in.,,Software engineer,More than 10 years,Telecom,More than 500 employees
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request status code: 200",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Date and Time: 2024-08-15 - 12:11:37, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Log level: INFO, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., There are technical limitations or challenges in anonymizing certain sensitive attributes., The logs I handle are not always used for sharing externally, so I anonymize fewer attributes.","Legal compliance, Risk of re-identification, Impact on data utility, Company policies","Suppression, Tokenization, Truncation, Hashing",Significantly,3,2,4,3,,,,Software engineer,1-3 years,Technology,1-100 employees
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Request status code: 200, Configuration details: vCores:32",No,,,,,,,,,,,,,Data scientist,4-6 years,Finance,More than 500 employees
"Yes, I'm ready!",Yes,GDPR (General Data Protection Regulation),"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request protocol: HTTP/1.0",No,,,,,,,,,,,,,Software engineer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,NONE,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, Component (the component that generated the log): org.apache.hadoop.mapreduce.v2.app.MRAppMaster, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn",No,,,,,,,,,,,,,IT security engineer,Less than 1 year,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), LGPD","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, Log level: INFO, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn","I anonymize only those attributes that are required by company policies or regulations., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so.","Legal compliance, Risk of re-identification, Impact on data utility, Company policies","Suppression, Hashing",Significantly,4,3,4,3,Data Retention Schedule and Access control,Privacy,,Data privacy officer,7-10 years,Government,1-100 employees
"Yes, I'm ready!",Yes,GDPR (General Data Protection Regulation),"Mac address: 5c:50:15:4c:18:13, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn",Yes,"Mac address: 5c:50:15:4c:18:13, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Environmental data: temperature ambient=33","Some attributes that I consider sensitive are not present in the logs I work with, so I cannot anonymize them., I anonymize only those attributes that are required by company policies or regulations.","Legal compliance, Company policies, Customer requirements",Truncation,Slightly,2,3,4,3,"While anonymizing sensitive IDs like social security numbers, I use Truncation to reveal only the first 3 digits",Using a key to fetch the intended value in the Database rather than viewing it in the log itself. ,None,Software engineer,1-3 years,Finance,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID",No,,,,,,,,,,,,,Data privacy officer,7-10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act), provincial privacy, provincial health privacy, ","NONE, This should not be a binary question and depends on context of the environment, community, secondary actions (e.g. Re-identification, linking, correlation)",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Request response size, Request response time, Environmental data: temperature ambient=33, Again, this depends on context.  If you collect heights of people in a community and there is a person that is 7' tall, their height then becomes identifiable.  Need to consider the ISO std for deidentification ISO/IEC 27559:2022 ","I anonymize only those attributes that are required by company policies or regulations., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so., There are technical limitations or challenges in anonymizing certain sensitive attributes., Audit logs are anonymized to mitigate privacy risks to individuals and to prevent improper correlations.  Additional security controls are also applied to prevent misuse of audit logs curated from a variety of sources.  Audit logs are pseudonymized and encrypted by default.  Policies and tooling are in place to prevent misuse of audit materials.  Given the amount of audit materials that we, a hyperscale cloud provider, must address, audit review very automated.","Legal compliance, Risk of re-identification, Impact on data utility, Customer requirements, company policies align and exceed legal compliance for the many jurisdictions where we conduct business.","Aggregation, Pseudonymization - Note that there may be ""break glass"" scenarios where reidentification is required.",Moderately,2,5,4,3,"Pseudonymizing logs is important to address privacy in certain contexts.  We are fortunate that for many analytics (e.g. Product improvement) aggregation is a meaningful approach to   deriving value from audit.  Certainly from a reliability perspective, there is often no need to examine outliers.  There is a need, from time to time, to be able to be specific for outliers (e.g. for criminal investigations or cyber incidents).  It's important to be able to have a structured approach to reidentify materials.  We also provide individuals and organizations with the ability to select the amount of diagnostic data that they share.","Education and perception of our customers.  Many individuals, organizations and regulators have an imprecise view of hyperscale cloud operations and the need to operate at an exa-scale in a hostile environment.  The traditional view of a human reviewing fan-fold paper is over 25 years old, but the mindset seems to remain.  The idea that individuals would casually data browse seeking interesting interactions is almost as futile as searching for the word ""the"" in all english text.","The anonymization of data in logs in wholly dependent on the use case for the audit information.  If it is used for security investigations, there needs to be a mechanism to reidentify actors (legal discovery, cyber threats, fraud).  If it is used for realtime security decisions (conditional access, end point protection) then additional anonymization may be afforded GUID, PUID.  If it is being used for bulk decision making (reliability, feature analysis, product improvement) then greater anonymity can be afforded
",CTO,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), PIPEDA (Personal Information Protection and Electronic Documents Act), NS, AB, SK, BC access to info and privacy legislation ","IP may be sensitive or public, other elements such as IDs, date and time, and user actions associated with a log may be sensitive depending on the context in which its used, how it is connected to a person or represents a person",No,,,,,,,,,,,,"Defining PI or PHI  requires interpretation of context. A log that demonstrates action associated with a person, while factual, may be PI if it demonstrates failure to comply with legislation or policy, and that action is being viewed in association with understanding a person's action. Suggest reviewing regulatory body decisions (OIPC) regarding defining PI. Risk of triangulation, and re-identification should also be considered when making log data available for secondary purposes. ",Data privacy officer,More than 10 years,Healthcare,101-500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), PIPEDA (Personal Information Protection and Electronic Documents Act), ISO27701","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Remote user and host information",Yes,"IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Remote user and host information","I anonymize only those attributes that are required by company policies or regulations., Anonymizing certain sensitive attributes could compromise the utility of the logs, so I avoid doing so.","Risk of re-identification, Company policies","Suppression, Truncation, Generalization",Significantly,4,4,3,4,Redacting or suppression of parts of the logs. Sharing the anonymize logs in encrypted format or passworded.,None,No,Security Compliance,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",No,,,,,,,,,,,,,,,,,,,
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), HIPAA (Health Insurance Portability and Accountability Act)","URL: http://cs-www.bu.edu/lib/pics/bu-logo.gif, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Host name: ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn, Port number: 8080, Request status code: 200",No,,,,,,,,,,,,,Security Engineer,4-6 years,Technology,1-100 employees
"Yes, I'm ready!",Yes,"GDPR (General Data Protection Regulation), CCPA (California Consumer Privacy Act), HIPAA (Health Insurance Portability and Accountability Act), PIPEDA (Personal Information Protection and Electronic Documents Act)","IP address: 192.168.1.1, Mac address: 5c:50:15:4c:18:13, File path: /user/root/rand/_temporary/part-00742, IDs: Process ID, Thread ID, Job ID, Node ID, Application ID, Device ID, Environmental data: temperature ambient=33, Username: cheng",No,,,,,,,,,,,,Log anonymization is complicated - just removing identifiers shouldn't be considered as anonymization,Privacy Engineer,More than 10 years,Technology,More than 500 employees
"Yes, I'm ready!",Yes,GDPR (General Data Protection Regulation),I have not identified any answer that fits the logs (ip Adress you mentioned is not in the logs),No,,,,,,,,,,,,,Network / System architect,More than 10 years,Technology,More than 500 employees
