,,IP address,timestamp,port,ID,network-related,username,response size,configuration details,MAC address,request protocol,email,path,hostname,location,command,password,url,age,credit card
Framework for Privacy-Aware Web Service Logging,"age, username, id, credit card, zip code, address, email",,,,1,,1,,,,,1,,,1,,,,1,1
"Sharing Network Logs for Computer Forensics: A New Tool for the Anonymization
of NetFlow Records","Source IP Address, Destination
IP Address, Source Port, Destination Port, Start Timestamp,
End Timestamp, Protocol and Byte Count",1,1,1,,,,1,,,1,,,,,,,,,
"Outsourcing Security Analysis with Anonymized
Logs",1) Start Time; 2)Source IP Address; 3) Source Port; 4) Destination IP Address; 5)Destination Port; 6) IP protocol type,1,1,1,,,,,,,1,,,,,,,,,
PRETSA: Event Log Sanitization for Privacy-aware Process Discovery,,,,,,,,,,,,,,,,,,,,
Privacy analysis of user association logs in a large-scale wireless LAN,MAC address,,,,,,,,,1,,,,,,,,,,
Delog: A High-Performance Privacy Preserving Log Filtering Framework,,,,,,,,,,,,,,,,,,,,
Preserving Organizational Privacy in Intrusion Detection Log Sharing,"IP, time, port",1,1,1,,,,,,,,,,,,,,,,
TripleLP: Privacy-Preserving Log Parsing Based on Blockchain,,,,,,,,,,,,,,,,,,,,
"PLI-Assess: A Behavior Profile-Based Approach
for Privacy-Preserving Log Assessment",,,,,,,,,,,,,,,,,,,,
"Cloud RAN Based Privacy Preserving Federated
Cross Domain Anomaly Detection in IoT Devices
Logs",,,,,,,,,,,,,,,,,,,,
"A Preliminary Study on Sensitive Information
Exposure Through Logging",,,,,,,,,,,,,,,,,,,,
"Privacy-Centric Log Parsing for Timely, Proactive Personal Data Protection",,,,,,,,,,,,,,,,,,,,
A Preliminary Study on the Privacy Concerns of Using IP Addresses in Log Data,IP address,1,,,,,,,,,,,,,,,,,,
Studying Privacy Leaks in Android App Logs,"1. Platform IDs: Device ID, serial number, Android ID, advertising ID.
2. User-related information, including the user’s name and email account.
3. Other privacy-related information, including manufacturer information.",,,,1,,1,,1,,,1,,,,,,,,
"A Taxonomy and Adversarial Model for
Attacks against Network Log Anonymization",,,,,,,,,,,,,,,,,,,,
Analyzing confidentiality and privacy concerns: insights from Android issue logs,,,,,,,,,,,,,,,,,,,,
From Fingerprint to Footprint: Revealing Physical World Privacy Leakage by Cyberspace Cookie Logs,"user ID, location",,,,1,,,,,,,,,,1,,,,,
,TOTAL,34,16,12,10,9,8,6,5,5,5,4,4,3,2,1,1,1,1,1
,TOTAL (%),59,28,21,17,16,14,10,9,9,9,7,7,5,3,2,2,2,2,2
